judul,tahun,durasi,gendre,rating,sutradara,aktor,votes,user,isi user,tgl,rating user
,,,,,,,,ferryvisual,A heartwarming movie that touched me from beginning to finished,18-Sep-19,10
,,,,,,,,karismaputrime,One of good movie in 2019,10-Jan-19,9
,,,,,,,,pragyaaguna,"Doesn't Feel Like A Very Special Movie, But Its Also Far From Bad",24-Jun-22,5
,,,,,,,,Xomed007,A moral story,4-Jan-19,8
,,,,,,,,amirmsani,Skip it,13-Jul-21,4
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Rako Prijanto,691,,,,
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Vino G. Bastian,691,,,,
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Adipati Dolken,691,,,,
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Jessica Mila,691,,,,
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Denny Sumargo,691,,,,
,,,,,,,,HafizhMaulana21,"Exciting, suspenseful, and interesting drama stories",24-Nov-22,8
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Ernest Prakasa,"2,130",,,,
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Ernest Prakasa,"2,130",,,,
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Kin Wah Chew,"2,130",,,,
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Gisella Anastasia,"2,130",,,,
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Dion Wiyoko,"2,130",,,,
,,,,,,,,imdberc,My Top Indonesian Movie,7-Feb-17,
,,,,,,,,emir-adenaury,An honest Indonesian movie about family,24-Feb-17,8
,,,,,,,,devilapolo,Good Job Another Indonesian Movie,10-Feb-17,10
,,,,,,,,unhealthyobsession,One of Indonesia's best,21-Oct-20,8
,,,,,,,,ini_ynti-22457,So wonderful!,26-Oct-17,9
,,,,,,,,rgamawann,Quite a good movie. Recommended.,22-Sep-17,8
,,,,,,,,bryantxzhan,Awesome movie,6-Jun-21,10
,,,,,,,,atharmiyukucing,"Quite good indeed, And some scene is quite memorable",18-Jul-21,9
,,,,,,,,radenvito-08616,"Touch on Real Life of chinese indonesian, not pulling away from issues but delivering them with grace",13-Jun-18,8
,,,,,,,,bram_yohanes,A true film about diversity in Indonesia,14-Jun-17,8
,,,,,,,,alexandermaleke,Moving forward,25-Jul-18,10
Check Store Next Door 2,-2022,114 min,"Comedy, Drama",7.6,Ernest Prakasa,Ernest Prakasa,513,,,,
Check Store Next Door 2,-2022,114 min,"Comedy, Drama",7.6,Ernest Prakasa,Meira Anastasia,513,,,,
Check Store Next Door 2,-2022,114 min,"Comedy, Drama",7.6,Ernest Prakasa,Ernest Prakasa,513,,,,
Check Store Next Door 2,-2022,114 min,"Comedy, Drama",7.6,Ernest Prakasa,Laura Basuki,513,,,,
Check Store Next Door 2,-2022,114 min,"Comedy, Drama",7.6,Ernest Prakasa,Kin Wah Chew,513,,,,
Check Store Next Door 2,-2022,114 min,"Comedy, Drama",7.6,Ernest Prakasa,Dion Wiyoko,513,,,,
,,,,,,,,yohanesbenh,I can't believe I'm the very first person reviewing this MASTERPIECE!,29-Apr-23,10
,,,,,,,,aipsun,"Cek Toko Sebelah 2: A Heartfelt, Touching yet Entertaining Sequel",1-Jul-23,7
,,,,,,,,tsutjipto,Touching and Marvelous,28-Nov-23,9
"Cinta Pertama, Kedua, & Ketiga",-2021,105 min,"Drama, Romance",6.7,Gina S. Noer,Gina S. Noer,394,,,,
"Cinta Pertama, Kedua, & Ketiga",-2021,105 min,"Drama, Romance",6.7,Gina S. Noer,Angga Yunanda,394,,,,
"Cinta Pertama, Kedua, & Ketiga",-2021,105 min,"Drama, Romance",6.7,Gina S. Noer,Putri Marino,394,,,,
"Cinta Pertama, Kedua, & Ketiga",-2021,105 min,"Drama, Romance",6.7,Gina S. Noer,Slamet Rahardjo,394,,,,
"Cinta Pertama, Kedua, & Ketiga",-2021,105 min,"Drama, Romance",6.7,Gina S. Noer,Ira Wibowo,394,,,,
,,,,,,,,pasaribuharisfadli,What a mess!,8-Jan-22,5
5 cm,-2012,125 min,"Adventure, Drama, Romance",7.2,Rizal Mantovani,Rizal Mantovani,"2,391",,,,
5 cm,-2012,125 min,"Adventure, Drama, Romance",7.2,Rizal Mantovani,Herjunot Ali,"2,391",,,,
5 cm,-2012,125 min,"Adventure, Drama, Romance",7.2,Rizal Mantovani,Raline Shah,"2,391",,,,
5 cm,-2012,125 min,"Adventure, Drama, Romance",7.2,Rizal Mantovani,Fedi Nuril,"2,391",,,,
5 cm,-2012,125 min,"Adventure, Drama, Romance",7.2,Rizal Mantovani,Pevita Pearce,"2,391",,,,
,,,,,,,,bakerstreet-862-612840,"Believe in ""5cm"" in front of your forehead.",9-Dec-13,7
,,,,,,,,LedyMissy,"Have a Bit of Taste of What Friendship, Love, and Life is Like in This Finely Scripted Movie, 5 cm",29-Dec-15,7
,,,,,,,,andrewchristianjr,GOOD VISUAL BUT CRINGE AND OVERDRAMATIC.,17-Jul-22,7
,,,,,,,,rafiibarati,5 cm is real in frront of your eyes,13-May-19,10
,,,,,,,,zulfaainitul,Unforgettable story~The power of belief~~,13-May-19,10
,,,,,,,,kelul,Something New,21-Oct-20,6
My Stupid Boss 2,-2019,96 min,"Adventure, Comedy",6.5,Upi Avianto,Upi Avianto,530,,,,
My Stupid Boss 2,-2019,96 min,"Adventure, Comedy",6.5,Upi Avianto,Reza Rahadian,530,,,,
My Stupid Boss 2,-2019,96 min,"Adventure, Comedy",6.5,Upi Avianto,Bunga Citra Lestari,530,,,,
My Stupid Boss 2,-2019,96 min,"Adventure, Comedy",6.5,Upi Avianto,Kin Wah Chew,530,,,,
My Stupid Boss 2,-2019,96 min,"Adventure, Comedy",6.5,Upi Avianto,Atikah Suhaime,530,,,,
,,,,,,,,daryopeek,"A great sitcom formula, but a major no for a movie sequel",30-Mar-19,5
,,,,,,,,shdmnasution,very entertaining comedy movies,28-Mar-19,8
,,,,,,,,ratihanisah,Commedy,13-May-19,9
,,,,,,,,rd-djunaedi,All casts are great except Morgan Oey,6-Jun-21,8
Fireworks,-2023,104 min,"Drama, Thriller",7,Herwin Novianto,Herwin Novianto,371,,,,
Fireworks,-2023,104 min,"Drama, Thriller",7,Herwin Novianto,Marsha Timothy,371,,,,
Fireworks,-2023,104 min,"Drama, Thriller",7,Herwin Novianto,Ringgo Agus Rahman,371,,,,
Fireworks,-2023,104 min,"Drama, Thriller",7,Herwin Novianto,Donny Damara,371,,,,
Fireworks,-2023,104 min,"Drama, Thriller",7,Herwin Novianto,Hanggini,371,,,,
What's Up with Cinta 2,-2016,123 min,"Drama, Romance",7.3,Riri Riza,Riri Riza,"2,106",,,,
What's Up with Cinta 2,-2016,123 min,"Drama, Romance",7.3,Riri Riza,Nicholas Saputra,"2,106",,,,
What's Up with Cinta 2,-2016,123 min,"Drama, Romance",7.3,Riri Riza,Dian Sastrowardoyo,"2,106",,,,
What's Up with Cinta 2,-2016,123 min,"Drama, Romance",7.3,Riri Riza,Titi Kamal,"2,106",,,,
What's Up with Cinta 2,-2016,123 min,"Drama, Romance",7.3,Riri Riza,Adinia Wirasti,"2,106",,,,
,,,,,,,,shiina_ringo_johansson,"Ada Apa dengan Commercial, Never as Good as the First Time",6-May-16,7
,,,,,,,,syazwanrosman,An Unnecassary Sequel,4-May-16,4
,,,,,,,,reinaldowilliam818,"Hey, what's up with love?",17-May-16,8
,,,,,,,,jonbudi,Teen romance drama,1-Mar-17,8
,,,,,,,,meydiana-65242,"Great, not so bad for a sequel",31-May-21,10
,,,,,,,,fernallfn,Below Expectation,23-May-16,3
,,,,,,,,friddenelgar,The whole Movie all about,8-May-16,5
,,,,,,,,setigaiki,"Great, not so bad for a sequel.",22-May-16,8
,,,,,,,,bruno_occhipinti,Beautiful sequel across Jogja and NY,12-Nov-16,9
Aruna & Her Palate,-2018,106 min,"Drama, Romance",7.1,Edwin,Edwin,871,,,,
Aruna & Her Palate,-2018,106 min,"Drama, Romance",7.1,Edwin,Dian Sastrowardoyo,871,,,,
Aruna & Her Palate,-2018,106 min,"Drama, Romance",7.1,Edwin,Nicholas Saputra,871,,,,
Aruna & Her Palate,-2018,106 min,"Drama, Romance",7.1,Edwin,Hannah Al Rashid,871,,,,
Aruna & Her Palate,-2018,106 min,"Drama, Romance",7.1,Edwin,Oka Antara,871,,,,
,,,,,,,,MichaelNontonMulu,A Nice Romantic Movie with Some Wonderful Culinary Experience,3-Oct-18,8
,,,,,,,,aldybeatbox21,Simplicity always win!,3-Oct-18,8
,,,,,,,,astridirawati2002,Entertaining,7-Oct-18,8
,,,,,,,,peteradisaputro,Quite Simple Story and Entertaining,10-May-20,8
,,,,,,,,oshkpublikahk,Recommended for Food Hunter,5-Dec-19,9
,,,,,,,,teguhtriguna,MUST WATCH movie with strong sense of Indonesian Culinary!,24-May-20,8
,,,,,,,,gsajuti,A great movie for those who love to explore culinary.,16-May-20,8
Ghost Writer,(II) (2019),97 min,"Comedy, Drama, Horror",6.6,Bene Dion Rajagukguk,Bene Dion Rajagukguk,532,,,,
Ghost Writer,(II) (2019),97 min,"Comedy, Drama, Horror",6.6,Bene Dion Rajagukguk,Tatjana Saphira,532,,,,
Ghost Writer,(II) (2019),97 min,"Comedy, Drama, Horror",6.6,Bene Dion Rajagukguk,Ge Pamungkas,532,,,,
Ghost Writer,(II) (2019),97 min,"Comedy, Drama, Horror",6.6,Bene Dion Rajagukguk,Deva Mahenra,532,,,,
Ghost Writer,(II) (2019),97 min,"Comedy, Drama, Horror",6.6,Bene Dion Rajagukguk,Ernest Prakasa,532,,,,
,,,,,,,,djamessaurus,"One good movie, worth to watch.",11-Jun-19,8
,,,,,,,,Khaskhask,GOKIL TO THE MAX,7-Jun-19,10
,,,,,,,,akhidavid,A FILM ABOUT THE GHOST OF THE BOOK WRITER'S ASSISTANT,11-Jul-21,9
,,,,,,,,sigitmurhadiyanto-42015,nice movie,10-Nov-20,9
,,,,,,,,HafizhMaulana21,"Nice, moved, but less nervous",17-Jun-23,6
,,,,,,,,SstrykerR,Fun little experience,8-Jun-21,7
Gie,-2005,147 min,"Biography, Drama, History",7.6,Riri Riza,Riri Riza,"1,058",,,,
Gie,-2005,147 min,"Biography, Drama, History",7.6,Riri Riza,Nicholas Saputra,"1,058",,,,
Gie,-2005,147 min,"Biography, Drama, History",7.6,Riri Riza,Jonathan Mulia,"1,058",,,,
Gie,-2005,147 min,"Biography, Drama, History",7.6,Riri Riza,Thomas Nawilis,"1,058",,,,
Gie,-2005,147 min,"Biography, Drama, History",7.6,Riri Riza,Christian Audi,"1,058",,,,
,,,,,,,,king_vsjn,A good attempt of non-documentary biography from Indonesia,12-Aug-05,8
,,,,,,,,winang,"""Gie"" is a satisfying multidimensional story about a unique and complex Indonesian political activist",18-Jul-05,8
,,,,,,,,nenen,Gie: The Hidden Thunder,28-Jul-05,7
,,,,,,,,sahman_dede,A part of Indonesian Struggle,9-Oct-05,7
,,,,,,,,tedicaprio,Nicolas is spot-on,25-Sep-19,7
,,,,,,,,gc_susetyo,"Not perfect, but good job nevertheless",28-Apr-06,7
,,,,,,,,cyguration,A Little Too Slow,11-May-20,7
,,,,,,,,proletariatpower,could have been better....,17-Mar-06,3
Habibie & Ainun,-2012,120 min,"Biography, Drama, Romance",7.6,Faozan Rizal,Faozan Rizal,"2,246",,,,
Habibie & Ainun,-2012,120 min,"Biography, Drama, Romance",7.6,Faozan Rizal,Reza Rahadian,"2,246",,,,
Habibie & Ainun,-2012,120 min,"Biography, Drama, Romance",7.6,Faozan Rizal,Bunga Citra Lestari,"2,246",,,,
Habibie & Ainun,-2012,120 min,"Biography, Drama, Romance",7.6,Faozan Rizal,Tio Pakusadewo,"2,246",,,,
Habibie & Ainun,-2012,120 min,"Biography, Drama, Romance",7.6,Faozan Rizal,Ratna Riantiarno,"2,246",,,,
,,,,,,,,DICK STEEL,A Nutshell Review: Habibie & Ainun,16-Mar-13,8
,,,,,,,,umpanumpan,Motivated !!,7-Jan-13,9
,,,,,,,,david-161-28390,More than a great film,26-Jan-20,10
,,,,,,,,meydiana-65242,Habibie & Ainun (2012),15-Mar-21,10
,,,,,,,,alberteffendy-98357,World,20-Nov-15,10
Ghost Writer 2,-2022,116 min,"Comedy, Drama, Horror",6.6,Muhadkly Acho,Muhadkly Acho,189,,,,
Ghost Writer 2,-2022,116 min,"Comedy, Drama, Horror",6.6,Muhadkly Acho,Tatjana Saphira,189,,,,
Ghost Writer 2,-2022,116 min,"Comedy, Drama, Horror",6.6,Muhadkly Acho,Deva Mahenra,189,,,,
Ghost Writer 2,-2022,116 min,"Comedy, Drama, Horror",6.6,Muhadkly Acho,Widyawati,189,,,,
Ghost Writer 2,-2022,116 min,"Comedy, Drama, Horror",6.6,Muhadkly Acho,Endy Arfian,189,,,,
,,,,,,,,witra_as,As good as part one,22-Jul-22,8
Yowis Band,-2018,99 min,"Comedy, Drama, Musical",7.3,Fajar Nugros,Fajar Nugros,"3,403",,,,
Yowis Band,-2018,99 min,"Comedy, Drama, Musical",7.3,Fajar Nugros,Bayu Skak,"3,403",,,,
Yowis Band,-2018,99 min,"Comedy, Drama, Musical",7.3,Fajar Nugros,Bayu Skak,"3,403",,,,
Yowis Band,-2018,99 min,"Comedy, Drama, Musical",7.3,Fajar Nugros,Cut Meyriska,"3,403",,,,
Yowis Band,-2018,99 min,"Comedy, Drama, Musical",7.3,Fajar Nugros,Brandon Salim,"3,403",,,,
Yowis Band,-2018,99 min,"Comedy, Drama, Musical",7.3,Fajar Nugros,Joshua Suherman,"3,403",,,,
,,,,,,,,emir-adenaury,Average.,4-Mar-18,5
,,,,,,,,bemzsoe,Overated,27-Aug-18,1
,,,,,,,,Khaskhask,Above 7.5 rating? Really?,21-Jul-18,3
,,,,,,,,elisellenn,Garbage,22-Mar-19,1
,,,,,,,,adiar-71222,THIS FILM IS OVERATTED,29-Mar-18,1
,,,,,,,,paryudiyudi,"Well, too overated to make it above 7.5",20-Mar-18,1
,,,,,,,,wanderational,"The movie is quite good, but the rating is over-exaggerated",19-Jan-20,7
,,,,,,,,adjieindrawan,OVERATTED,11-Oct-18,1
,,,,,,,,precillia_ss,Light story but full of moral values.,16-Mar-18,10
,,,,,,,,amanullahkhan_ok,OVERATED,11-Sep-18,7
,,,,,,,,farrellnaofal,Comedy,6-Mar-18,10
,,,,,,,,fahrezi_c,COMEDY,8-Mar-18,10
,,,,,,,,ahmzuhdi,Another Generic Romcom Movie,23-Apr-21,6
,,,,,,,,cissrawkdemon,Good Film,10-Mar-18,9
Joni's Promise,-2005,83 min,"Adventure, Comedy, Drama",7.6,Joko Anwar,Joko Anwar,"1,530",,,,
Joni's Promise,-2005,83 min,"Adventure, Comedy, Drama",7.6,Joko Anwar,Nicholas Saputra,"1,530",,,,
Joni's Promise,-2005,83 min,"Adventure, Comedy, Drama",7.6,Joko Anwar,Mariana Renata,"1,530",,,,
Joni's Promise,-2005,83 min,"Adventure, Comedy, Drama",7.6,Joko Anwar,Rachel Maryam Sayidina,"1,530",,,,
Joni's Promise,-2005,83 min,"Adventure, Comedy, Drama",7.6,Joko Anwar,Surya Saputra,"1,530",,,,
,,,,,,,,gila_film,A cool comedy with an intention to entertains,16-Jun-05,8
,,,,,,,,mkcen2000,"Simply fresh, simple, hip but intelligent, a promise well delivered.",10-Sep-05,9
,,,,,,,,killbill_tarantino2003,"""Janji Joni"" rocks the world!",20-Sep-05,10
,,,,,,,,deasy0deasy,What a surprise!,22-Jun-05,10
,,,,,,,,virtualmeanwhilee,Indonesian Cinema Gets Fresh Air,27-Apr-05,9
,,,,,,,,resident_evilmaniac,"A truly entertaining, inspiring, and meaningful ride! Highly recommended.",14-Jun-07,8
,,,,,,,,daniel70ppp,"Fresh, hip, different",29-Apr-05,9
,,,,,,,,rianty-wahab,"""Unique original story with over ambitious script writings""",10-Feb-10,7
,,,,,,,,shanty_mulia,Arguably the best Indonesian movie since 2000,26-May-05,10
,,,,,,,,tazangelic,Almost perfect combination!,3-May-05,8
,,,,,,,,diannndra,a one day journey of a delivery role film boy,22-May-05,6
,,,,,,,,iphien-keren,"Wonderful script, the acting can be better",29-Apr-06,8
,,,,,,,,incubrus,"excellent intro, bad middle and end.",17-Apr-06,6
,,,,,,,,bryantxzhan,Interesting Movie,18-Aug-21,10
,,,,,,,,gembel,"although it's not the best Indonesian movie, but it still interesting to see it",4-May-05,9
,,,,,,,,sanguine80,Trying too hard to be funny,7-May-05,6
,,,,,,,,shedoesntrule,"Pretty good, however..",4-Feb-06,8
,,,,,,,,weddypratama,"Good movie, but its story is similar to Scorseses'movie ""After Hours""",12-Sep-19,6
,,,,,,,,makanandansusu,Ok movie but a little bit let down.,15-Feb-21,5
,,,,,,,,daringdarlings,Just what the Indonesian audience wants (But not what they need),16-Jun-05,1
,,,,,,,,hellenrasyid,Joni and Joko should not quit their day job just yet.,15-Jun-05,
My Stupid Boss,-2016,108 min,Comedy,7.1,Upi Avianto,Upi Avianto,"1,749",,,,
My Stupid Boss,-2016,108 min,Comedy,7.1,Upi Avianto,Bunga Citra Lestari,"1,749",,,,
My Stupid Boss,-2016,108 min,Comedy,7.1,Upi Avianto,Reza Rahadian,"1,749",,,,
My Stupid Boss,-2016,108 min,Comedy,7.1,Upi Avianto,Alex Abbad,"1,749",,,,
My Stupid Boss,-2016,108 min,Comedy,7.1,Upi Avianto,Bront Palarae,"1,749",,,,
,,,,,,,,haziqmuhyidin,"A movie that serves direct relate-able humour, witty lines, and great comedic timing.",22-May-16,9
,,,,,,,,bayuvevo,FRESH!!,15-Sep-20,10
,,,,,,,,talktoashish,Bah! Watch for Malay/Indonesian movie experience.,17-Aug-21,5
,,,,,,,,talkmahesh,What a boring movie,1-Jan-21,2
,,,,,,,,laywilliam,It is not as good as expected,8-Jun-16,6
Letters from Prague,-2016,97 min,"Drama, Musical, Romance",7.1,Angga Dwimas Sasongko,Angga Dwimas Sasongko,394,,,,
Letters from Prague,-2016,97 min,"Drama, Musical, Romance",7.1,Angga Dwimas Sasongko,Julie Estelle,394,,,,
Letters from Prague,-2016,97 min,"Drama, Musical, Romance",7.1,Angga Dwimas Sasongko,Tio Pakusadewo,394,,,,
Letters from Prague,-2016,97 min,"Drama, Musical, Romance",7.1,Angga Dwimas Sasongko,Rio Dewanto,394,,,,
Letters from Prague,-2016,97 min,"Drama, Musical, Romance",7.1,Angga Dwimas Sasongko,Widyawati,394,,,,
,,,,,,,,reinaldowilliam818,Succinct and heartwarming.,22-Oct-16,8
,,,,,,,,dindaidrd,Deep meaningful story,10-Feb-17,9
,,,,,,,,rifqi_klose,One of the best Indonesian film in decade,30-Oct-18,10
,,,,,,,,linearattack,Could be much better,3-Aug-20,5
27 Steps of May,-2018,112 min,Drama,7.9,Thoersi Argeswara,Thoersi Argeswara,586,,,,
27 Steps of May,-2018,112 min,Drama,7.9,Thoersi Argeswara,Ravi L. Bharwani,586,,,,
27 Steps of May,-2018,112 min,Drama,7.9,Thoersi Argeswara,Raihaanun,586,,,,
27 Steps of May,-2018,112 min,Drama,7.9,Thoersi Argeswara,Lukman Sardi,586,,,,
27 Steps of May,-2018,112 min,Drama,7.9,Thoersi Argeswara,Ario Bayu,586,,,,
27 Steps of May,-2018,112 min,Drama,7.9,Thoersi Argeswara,Verdi Solaiman,586,,,,
,,,,,,,,Karamakate,"A stunning Indonesian ""Alice in Wonderland""",1-Feb-19,9
,,,,,,,,sukmolelono,a first step towards understanding the trauma of sexual assault,7-May-19,7
,,,,,,,,ahdini140451,Brilliantly packed for emotionally charged film.,20-Sep-19,9
,,,,,,,,arinugroho-43560,MONUMENTAL,28-Apr-19,10
,,,,,,,,PutriNurjanna,Less dialogue deep meaning,8-May-19,8
,,,,,,,,bryantxzhan,Very Emotional and Dramatic Movie,30-Dec-20,10
,,,,,,,,Re1nard,Boring. Irrational. Too many loopholes.,10-Jul-22,2
A Million of Loves for You,-2020,97 min,"Drama, Family",7.5,Herwin Novianto,Herwin Novianto,236,,,,
A Million of Loves for You,-2020,97 min,"Drama, Family",7.5,Herwin Novianto,Deddy Mizwar,236,,,,
A Million of Loves for You,-2020,97 min,"Drama, Family",7.5,Herwin Novianto,Syifa Hadju,236,,,,
A Million of Loves for You,-2020,97 min,"Drama, Family",7.5,Herwin Novianto,Umay Shahab,236,,,,
A Million of Loves for You,-2020,97 min,"Drama, Family",7.5,Herwin Novianto,Edbert Destiny,236,,,,
,,,,,,,,Sir_AmirSyarif,Flawed but affecting and heart-warming,29-Oct-20,7
,,,,,,,,bayuvevo,I was crying all the time,17-Nov-20,10
,,,,,,,,suci_theblank,Very Good,23-Jun-21,10
Patience is the test,-2020,126 min,"Adventure, Comedy, Drama",7.4,Anggy Umbara,Anggy Umbara,430,,,,
Patience is the test,-2020,126 min,"Adventure, Comedy, Drama",7.4,Anggy Umbara,Vino G. Bastian,430,,,,
Patience is the test,-2020,126 min,"Adventure, Comedy, Drama",7.4,Anggy Umbara,Luna Maya,430,,,,
Patience is the test,-2020,126 min,"Adventure, Comedy, Drama",7.4,Anggy Umbara,Ananda Omesh,430,,,,
Patience is the test,-2020,126 min,"Adventure, Comedy, Drama",7.4,Anggy Umbara,Estelle Linden,430,,,,
,,,,,,,,diggul,Very touching,6-Sep-20,10
,,,,,,,,shafawatinadia,Very good movie,12-Sep-20,9
,,,,,,,,Nurfauzi-fikri9,Better than I expected,8-Sep-20,9
,,,,,,,,thenickmusa,Heartwarming Film,11-Sep-20,9
,,,,,,,,Ultraluna_,This movie is briliant!,7-Sep-20,9
,,,,,,,,herusyofuan,Inspiration,9-Sep-20,9
,,,,,,,,pasyalyana,Mood Booster Indonesian Movie 2020,15-Sep-20,10
,,,,,,,,retnokhastuti,Nice,15-Sep-20,9
,,,,,,,,babuntel,One of the great timeloop movie!,7-Sep-20,7
,,,,,,,,Sir_AmirSyarif,A time-loop comedy with unfulfilled potential,5-Sep-20,5
,,,,,,,,friskasesillia,Juarakkkkkkkkkkk,20-Sep-20,10
,,,,,,,,devianiastari,"Jujur sedikit membosankan (6.5) , namun bermakna",15-Oct-20,6
,,,,,,,,elikrisnawati,"This film make me cry, but laugh😂",15-Sep-20,9
,,,,,,,,nadia_khoi,Amazing,19-Sep-20,9
,,,,,,,,obinbisnis,Ditunggu episode 2 atau SERIES nya! Keren!,16-Sep-20,8
,,,,,,,,bukearpubu,AMAZING MOVIE,24-Sep-20,9
Possessive,-2017,102 min,"Comedy, Drama, Romance",7.3,Edwin,Edwin,"1,006",,,,
Possessive,-2017,102 min,"Comedy, Drama, Romance",7.3,Edwin,Putri Marino,"1,006",,,,
Possessive,-2017,102 min,"Comedy, Drama, Romance",7.3,Edwin,Adipati Dolken,"1,006",,,,
Possessive,-2017,102 min,"Comedy, Drama, Romance",7.3,Edwin,Gritte Agatha,"1,006",,,,
Possessive,-2017,102 min,"Comedy, Drama, Romance",7.3,Edwin,Chicco Kurniawan,"1,006",,,,
,,,,,,,,LDRmuffin,Quite impressive!,11-Nov-18,9
,,,,,,,,reinaldowilliam818,Roller Coaster of Emotion in an Abusive Relationship Themed Movie.,30-Oct-17,8
,,,,,,,,umbertod-73386,Surprise Me A Lot in a Good Way...,12-Nov-17,8
,,,,,,,,mayaagustini,Great Movie,30-Dec-20,8
,,,,,,,,PutriNurjanna,Simple but deep,13-Nov-18,9
,,,,,,,,lubbme_shamy,Exceeded my expectations,13-Feb-22,8
,,,,,,,,FinnTalks,Possesssheet,23-Mar-21,2
,,,,,,,,vhandoyo,Tackling important subject elegantly,7-Jun-20,10
Dead Time,-2007,102 min,"Crime, Fantasy, Horror",7,Joko Anwar,Joko Anwar,"1,100",,,,
Dead Time,-2007,102 min,"Crime, Fantasy, Horror",7,Joko Anwar,Donny Alamsyah,"1,100",,,,
Dead Time,-2007,102 min,"Crime, Fantasy, Horror",7,Joko Anwar,Fachry Albar,"1,100",,,,
Dead Time,-2007,102 min,"Crime, Fantasy, Horror",7,Joko Anwar,Ario Bayu,"1,100",,,,
Dead Time,-2007,102 min,"Crime, Fantasy, Horror",7,Joko Anwar,Fahrani,"1,100",,,,
,,,,,,,,frereloupe9,"Nevermind the Fellowship of the Ring, here comes The Deadtime Possee!!!",12-Sep-07,10
,,,,,,,,p-stepien,Brilliant if uneven: Dead is in!,17-Jul-09,8
,,,,,,,,anandserpi,A Breakthrough of Indonesian Movies!,26-Apr-07,9
,,,,,,,,savatose,Something new,9-Aug-07,7
,,,,,,,,faithfullmarx,"mixed of the killing, kill bill, and crouching tiger hidden dragon...",30-Apr-07,5
,,,,,,,,mondaymoviemania,Capital A.,17-Oct-07,1
The Garuda Kids,-2020,129 min,"Adventure, Biography, Comedy",8.5,Faozan Rizal,Faozan Rizal,55,,,,
The Garuda Kids,-2020,129 min,"Adventure, Biography, Comedy",8.5,Faozan Rizal,Verdi Solaiman,55,,,,
The Garuda Kids,-2020,129 min,"Adventure, Biography, Comedy",8.5,Faozan Rizal,Tissa Biani Azzahra,55,,,,
The Garuda Kids,-2020,129 min,"Adventure, Biography, Comedy",8.5,Faozan Rizal,Violla Georgie,55,,,,
The Garuda Kids,-2020,129 min,"Adventure, Biography, Comedy",8.5,Faozan Rizal,Ajil Ditto,55,,,,
The Garuda Kids,-2020,129 min,"Adventure, Biography, Comedy",8.5,Faozan Rizal,Clairine Clay,55,,,,
,,,,,,,,chandrandre,Very recommended film,18-Jan-20,10
Salawaku,-2016,82 min,Drama,7.7,Pritagita Arianegara,Pritagita Arianegara,82,,,,
Salawaku,-2016,82 min,Drama,7.7,Pritagita Arianegara,Elko Kastanya,82,,,,
Salawaku,-2016,82 min,Drama,7.7,Pritagita Arianegara,Karina Salim,82,,,,
Salawaku,-2016,82 min,Drama,7.7,Pritagita Arianegara,Joshua Matulessy,82,,,,
Salawaku,-2016,82 min,Drama,7.7,Pritagita Arianegara,Raihaanun,82,,,,
