id_user,id_film,nama_user,tanggal_user,isi_user,rating_user
40001,10001,chairulridjal,10-Feb-2024,Loved the comedies; amazing picture.,8
40002,10001,zeropyrozen,10-Feb-2024,Truly Belly-Shake Movie,9
40003,10001,daryopeek,15-Feb-2024,Funny and realistic; a situation comedy film at its best,8
40004,10001,tonciang-12-554394,18-Feb-2024,Original and Fresh Dark Comedy,8
40005,10002,tomsalf,7-Oct-2023,Laura is a STAR,9
40006,10002,mariolsitumorang,8-Sep-2023,Crazy Plot for Indonesian Film,8
40007,10003,Fella_shibby,10-Jun-2018,A very creepy n scary horror film with solid character development n atmosphere.,9
40008,10003,kosmasp,13-Feb-2019,Flawed but really good,9
40009,10003,tiagocampos-02918,28-Jul-2019,Away from the recent horror Hollywood crap,7
40010,10003,Xstal,26-Aug-2020,Poltergeist Ringu Thriller Diller...,6
40011,10003,claudio_carvalho,31-Aug-2018,Scary and Creepy,7
40012,10003,hiraishinnojutsu,29-Sep-2017,much better than the original movie,7
40013,10003,kannibalcorpsegrinder,27-Oct-2017,Absolutely stellar Indonesian feature,10
40014,10003,nogodnomasters,17-Aug-2020,We dont pray.,4
40015,10003,umbertod-73386,2-Oct-2017,Scary as sh*t!!!!,8
40016,10003,redrobin62-321-207311,7-Aug-2018,Couldve Been Better.,5
40017,10003,AziziOthmanMY,22-Aug-2018,a good start with seriously FLAWED ENDING...,3
40018,10003,morrison-dylan-fan,3-May-2020,Rosemarys Slaves.,8
40019,10003,SoumikBanerjee1996,5-Jul-2022,Didnt work for me,4
40020,10003,ilovepakjejen,30-Sep-2017,The Best Indonesian Horror Movie of all time,8
40021,10003,vmalast,16-Oct-2018,Dont be fooled by good reviews,2
40022,10003,adhityaeriny,10-Oct-2017,A big breakthrough for Indonesias Horror Movie Industry,9
40023,10003,reinzarvest-04176,2-Dec-2020,Awesome,10
40024,10003,gedikreverdi,6-Jun-2021,It needs better actors and a script,4
40025,10003,lcanderson-13864,6-Oct-2018,Indonesian Conjuring meets Sadako meets the Woman in Black meets cult home invasion,5
40026,10003,JoelChamp85,27-Mar-2021,Not Bad But Nothing Too Original,5
40027,10003,coolidgebutch,10-Jun-2019,Warning: extremely scary,10
40028,10003,andrewchristianjr,14-Jul-2022,CREEPY.,8
40029,10003,yuma310,3-Apr-2019,Not horror...but maybe an extended advertisement!!,3
40030,10003,gavin6942,24-Jun-2018,Indonesia Brings Its A-Game,8
40031,10003,nicholassantoso,30-Oct-2022,The best horror movie in Indonesia,8
40032,10004,arungeorge13,13-Jan-2022,A slice of Indonesian cinema at its finest! +79%,8
40033,10004,icocleric,13-Jan-2022,Very Powerful,9
40034,10004,ops-52535,15-Jan-2022,hardly ever seen...,8
40035,10004,exceladeogun,16-Jan-2022,Toptier!,10
40036,10004,kindredparadox,16-Jan-2022,Forced Idea; Well Executed,6
40037,10004,kosmasp,27-Jan-2022,Impact vs. execution,7
40038,10004,kamalbeeee,5-Mar-2022,Good mystery thriller..!!,7
40039,10004,nayyar-aditya,16-Jan-2022,Good; but have been much better!,6
40040,10004,qui_j,26-Jan-2022,Indonesian Teen Drama plus Agatha Christie!,3
40041,10004,Horror_Flick_Fanatic,23-Jan-2022,absurd movie,4
40042,10004,Cirdl3,15-Jan-2022,One Of The Best Indonesia Movie,9
40043,10004,Otte1,11-Sep-2022,Bad ending,4
40044,10004,iamMarkPrice,15-Jan-2022,So powerful you must watch,8
40045,10004,aldri-feb,21-Jan-2022,Promising Set-Up Story but Messed at the End,5
40046,10004,thomasafik,14-Jan-2022,Deserve more recognition,10
40047,10004,santosofajar-76865,26-Jan-2022,Controversial Social Issue; Watered Down,2
40048,10004,michael-64099,21-Jan-2022,This is no clickbait movie; its really good!,9
40049,10004,ahmadfrie,14-Jan-2022,I dont really like the plot.....,6
40050,10004,Thedragonmaster-20667,14-Jan-2022,One of the best movie i have ever seen,10
40051,10004,raj-bhullar,22-Jul-2022,Gripping; underrated; hidden gem,9
40052,10004,hprabowo,15-Jan-2022,One of Indonesias finest,9
40053,10004,XueHuaBingYu,29-Jan-2022,Wow! One of the best films Ive seen.,8
40054,10004,thewalkingpuns,19-Jan-2022,great story and great setting,7
40055,10004,divinalondon,19-Jan-2022,Whaaaat?,1
40056,10005,witra_as,4-Jun-2022,Strong emphasis on family relationships,9
40057,10005,ytharumta,2-Jun-2022,The Best Family Drama Movies,10
40058,10005,yehezkielginting,3-Jun-2022,Full of laugh and tears,10
40059,10005,canisthya,8-Oct-2022,Nature and culture perfect mix,8
40060,10005,bimaadiwira,4-Jul-2022,Perfect balance of comedy and heartwarming family story,8
40061,10005,awaldibachtiar,5-Jun-2022,Good story and acting,9
40062,10005,hans-panjaitan-330-89832,7-Jul-2022,Truly Bataknese family,9
40063,10005,nottfreyja,13-Jun-2022,Whole package of family movie,9
40064,10005,samODA-092,4-Jul-2022,Really represents the Bataknese family,10
40065,10005,pasaribuharisfadli,8-Jun-2022,A familial comedy-drama that felt familiar and pertinent,7
40066,10005,bajingantampan,14-Jun-2022,A Movie for Everybody,10
40067,10005,hiapakabarsehat,18-Jun-2022,Best Family Movie,10
40068,10005,andrewchristianjr,9-Oct-2022,WELL-TOLD. DEEPLY PERSONAL.,8
40069,10005,ladyroockerz,24-Apr-2023,Great storyline!,9
40070,10005,HafizhMaulana21,24-Nov-2022,A family drama film full of meaning and empathy with cultural beauty,10
40071,10005,ryolusky13,6-Oct-2022,An honest and balanced portrait of Batak family and its cultural values,9
40072,10005,evelynsimorangkir,31-Jul-2022,Good,8
40073,10005,yoonbeeyond,29-Jan-2024,Good family-drama,8
40074,10006,mademoisherl,4-Dec-2022,Couldve been so much better than this,6
40075,10006,sansanxaverius-76886,21-Nov-2022,Wonder Woman Wanna Be,6
40076,10006,geraldkweesar,31-Mar-2023,An Improvement; But Still Isnt Good,5
40077,10006,sanjaime-10089,19-Nov-2022,This was far better than gundala,8
40078,10006,monibhebhe,17-Nov-2022,best superhero movie in southeast asia,10
40079,10006,fvhimawan,27-Mar-2023,Insufficient Character Build Up,6
40080,10007,rahimnoryan,6-Dec-2023,I AM PROUD TO BE INDONESIAN,7
40081,10007,magnussonborski,20-Nov-2022,Not good; but not that bad either,5
40082,10007,Crescent11,26-Nov-2022,Very good follow up after Gundala,10
40083,10007,cahidi,2-Oct-2023,Dewi Asih,7
40084,10007,niarlove,18-Nov-2022,IMPROVED 100%!!!,10
40085,10007,nick98nicholas,22-Nov-2022,Well-made; action-packed; Indonesian film.,8
40086,10007,bayunugrohomail,20-Nov-2022,Sri Asih ^_^,10
40087,10008,pink_giulie,19-Nov-2020,Wonderful; emotional movie,10
40088,10008,frans_xavier,21-Oct-2022,A Soapy Film with Telenovela Style,1
40089,10008,alejahernandezlopez,29-Oct-2020,Aleja,6
40090,10008,paul_haakonsen,15-Jul-2023,Quite a beautiful and emotional movie...,7
40091,10009,MichaelNontonMulu,26-Aug-2022,A Pretty Well Executed Indonesian Heist Movie,8
40092,10009,yeanyprajaya,28-Aug-2022,A BREATH OF FRESH AIR TO INDONESIAN FILM GENRE!,9
40093,10009,daryopeek,4-Sep-2022,Its a fun and fulfilling film,8
40094,10009,inayatulfm,13-Dec-2022,Indonesian action films recommended!,8
40095,10009,mikesimatupang,28-Aug-2022,The title didnt attract me AT ALL; but turned out its A GOOD MOVIE TO WATCH!!!,8
40096,10009,fayreview,2-Sep-2022,best indonesian heist movie in 2022!,9
40097,10009,albertval-69560,6-Jan-2023,Heist Film; Indonesian Style,7
40098,10009,Miputra,6-Sep-2022,A bad movie and a good movie in one movie,7
40099,10009,HafizhMaulana21,24-Nov-2022,The best theft film owned by Indonesia,10
40100,10009,rafaelfardhan,13-Sep-2022,A film that is not boring; a good plot and a good story,10
40101,10009,rahmanita-12828,4-Sep-2022,Best Indonesia movie about heist,9
40102,10009,ops-52535,5-Jan-2023,a highly interesting...,9
40103,10009,andrewchristianjr,8-Jan-2023,SUPER FUN!,8
40104,10009,widyakamara,2-Jan-2023,Amazing Action Movie,10
40105,10009,syakam,28-Aug-2022,So Many Unexpected Plot,9
40106,10009,cinephile-007,26-Jan-2023,A near perfect heist movie that keeps you engaged throughout,8
40107,10010,daryopeek,24-Jul-2019,A genuine sex ed flick that Indonesia needs,9
40108,10010,vi-nino,22-Jul-2019,Its TWO BLUE STRIPES movie; not JUNOs rip-off!,10
40109,10010,iamianiman,4-Oct-2019,Dua Garis Biru crosses the line to reaching its good title.,7
40110,10010,RendyBrontosaurus,11-Nov-2020,Dare to be Different!!,8
40111,10010,slytherinserpent,22-Nov-2019,A really good movie,8
40112,10010,ini_ynti-22457,10-Mar-2020,Enjoyable,7
40113,10010,massagekirana,9-Aug-2019,Film Keren,10
40114,10010,reinaldowilliam818,29-Jul-2019,The movie that we need AND we deserve,8
40115,10010,yuseric,28-Nov-2019,ITS NOT A SEX EDUCATION MOVIE!!!!!,8
40116,10010,ioyreviewee,10-Jun-2020,Good? Yes. A bit overrated? Absolutely!,6
40117,10010,ansar88,1-Jul-2022,Educational Movie,8
40118,10011,tiggerhans,13-Mar-2002,A little gem from Indonesia! TeenLove hurts; but in the end they live happily ever after.,8
40119,10011,kevin_blaze,24-Jul-2002,The best Indonesian movie ever made with great storyline; setting; casting and soundtrack!,10
40120,10011,kvnbrghtn,22-Oct-2004,The start of Indonesias comeback,10
40121,10011,suannz86,11-Jan-2005,one of the best teen flicks ive ever seen.,10
40122,10011,rayfienta22,9-Nov-2014,"Ada Apa dengan Cinta?"" Forever.",10
40123,10011,harve_p,25-Mar-2002,Memories and reflections from high school,8
40124,10011,tiggerhans,6-Mar-2002,Soap for the masses.,8
40125,10011,deliasayang,6-Jan-2005,Better than most Hollywood teen movies; for sure.,8
40126,10011,ve-handojo,28-Oct-2002,to see again and again,7
40127,10011,lee-90,12-Jan-2003,great story about love,10
40128,10011,meydiana-65242,31-May-2021,Not bad movie,8
40129,10011,sukapesta,20-Sep-2005,a delectable treat; but dont get your hopes up...,9
40130,10011,gila_film,15-Dec-2002,Positive teen flick,8
40131,10011,shi612,22-Nov-2005,Enjoyable adolescent movie from Indonesia with Hollywood taste,8
40132,10011,gc_susetyo,12-Mar-2006,Breakthrough (by the way; this also contains a spoiler for The Prince And Me),9
40133,10011,aldiandoko,9-Mar-2018,A well directed drama-romance.,10
40134,10011,calvinh1985,26-Sep-2004,Sweet Story,9
40135,10011,laruelle,17-Nov-2002,A fresh view over Indonesian society,10
40136,10011,Matt73,1-Aug-2002,Diamond in the Rough,8
40137,10011,milakariyn,24-Jul-2012,Simple yet touching story!,7
40138,10012,feryantt,23-Aug-2022,The star is not for Ariel Tatum. I would die for Ariel Tatum,1
40139,10012,vrffhcn,21-Aug-2022,Verry bad movie,1
40140,10012,avakina,21-Aug-2022,The part I like the most,1
40141,10012,aqien,18-Aug-2022,the storyline is bad,1
40142,10012,movietrailermm,25-Aug-2022,Broken wing another broken script,1
40143,10013,ilhamdb,23-Aug-2022,Dont get the hate,9
40144,10013,hamzahanaz-64757,22-Aug-2022,The actors are good; the acting is also good; but the movie feels boring and the story is easy to gues.,1
40145,10013,masagusridwanfebriyan,20-Aug-2022,Very disappointed,1
40146,10013,akbar_i,22-Aug-2022,Predictable storyline,1
40147,10013,densussiregar,24-Aug-2022,Complicated Story & Bad Action,1
40148,10013,Abc-kal,22-Aug-2022,Plagiarisme,1
40149,10013,rudihermawanhajimugeni,23-Aug-2022,Bad Movies,1
40150,10013,irdenihartono,22-Aug-2022,garbage movie,1
40151,10013,mikesimatupang,28-Aug-2022,Got free ticket & dissapointed. Ngl; you better watch other movie!,2
40152,10013,jouirvan,19-Aug-2022,My Favorit Film,10
40153,10013,hopemylifebebetter,23-Aug-2022,Nonsense,1
40154,10013,fitriyantoandi,19-Aug-2022,We need more like this,10
40155,10013,bodcctv,24-Aug-2022,buzzer,1
40156,10013,yusakmanullang,18-Aug-2022,An absolute watch movie.,10
40157,10013,joechaniagojc,23-Aug-2022,Nothing special,1
40158,10013,kadrunjahanam,19-Aug-2022,So nice,10
40159,10013,aliviasania,25-Aug-2022,"Good movie based on ""Real Storry"" vs Radikals",10
40160,10013,mayaagustini,20-Aug-2022,Not bad,7
40161,10013,agustinussamin,18-Aug-2022,THIS FILM IS REALLY VERY GOOD,10
40162,10013,yonasirvanputra,19-Aug-2022,Spectacular Movie,10
40163,10014,Blue-Grotto,2-Oct-2021,Like a cloud turns to rain with no words; I simply want to love you.,9
40164,10014,CinemaClown,10-May-2022,A Candid Portrait Of What Its Like To Be A Young Girl In Indonesia,8
40165,10014,pasaribuharisfadli,10-Dec-2021,Multilayered in its simplicity. A gem need to watch!,8
40166,10014,atractiveeyes,16-Jan-2022,V Good,7
40167,10014,triaprilitatata,15-Oct-2021,Success,9
40168,10014,FilmFlowCritics,9-Nov-2021,A glimpse of a very different culture,7
40169,10014,elder-81604,28-Oct-2021,"Indonesian indie-darling ""Yuni"" tantilizes in its mature and contemporary slant on coming of age",9
40170,10014,daryopeek,29-May-2022,An honest portrait,9
40171,10014,canisthya,22-Jun-2022,Excellent,10
40172,10014,mazisramadhan,22-Dec-2023,Cinematic symphony of emotion,10
40173,10014,alanicareek-97898,23-Mar-2023,GOOD MOVIE BUT THERES STRANGE MESSAGE INSIDE,3
40174,10015,vi-nino,24-Dec-2019,This is a movie that our society needs.,10
40175,10015,rescy009,29-Dec-2019,Not your typical Asian drama movies......,8
40176,10015,aryawibitomo,1-Jan-2020,Best Indonesian movie in 2019 !,10
40177,10015,klemenaslan,25-Dec-2019,Nice movie...,9
40178,10015,rainerraff-87519,13-Jul-2020,Critics that also give you a good relief,9
40179,10015,abiprajaap,28-Dec-2019,High Recommended Movie,10
40180,10015,ephenys,30-Dec-2019,Awesome family movie to watch !,10
40181,10015,darc-04238,1-Jan-2020,Brilliant Indonesian Movie to close 2019,10
40182,10015,bryantxzhan,6-Jun-2021,Worth to watch,9
40183,10015,laurentsita,2-Jan-2020,Its nice but..,8
40184,10015,wahyuredhani,13-Mar-2022,Okay,8
40185,10015,daryopeek,23-Aug-2022,Formulaic but still works,8
40186,10016,LDRmuffin,4-Jan-2019,Heartwarming!,8
40187,10016,annisasafanta,4-Jan-2019,Helping Digital Economy,8
40188,10016,juliusalexs,3-Jan-2019,Good Movie,9
40189,10016,ignsyndrome,26-Jul-2019,Beautiful Movie,9
40190,10016,RHZlubis,29-Apr-2020,Its good; but overrated,7
40191,10016,ykd-95042,8-Jan-2019,Really Likes the Scenario,8
40192,10016,rainerraff-87519,12-Jan-2019,Will Not Fail to Touch Your Heart,9
40193,10016,leonihang,7-Jan-2019,True Value of Family - Priceless!,9
40194,10016,zafierfazamuhammad,19-Jan-2019,What a beautiful movie!!,9
40195,10016,cocingescape,9-Jan-2019,Family Movie that Must be Watched.,8
40196,10016,ferryvisual,18-Sep-2019,A heartwarming movie that touched me from beginning to finished,10
40197,10016,karismaputrime,10-Jan-2019,One of good movie in 2019,9
40198,10016,pragyaaguna,24-Jun-2022,Doesnt Feel Like A Very Special Movie; But Its Also Far From Bad,5
